,PLACEID,BOROUGH CODE,FACILITY TYPE,FEATURE NAME,longitude,latitude,FACILITY TYPE NAME,ACTIVITY_CATEGORY,BOROUGH NAME
7524,1035668,1.0,4,BELLEVUE SOUTH PARK,-73.978058842536,40.74004080466,Recreational Facility,recreation,Manhattan
7528,1218,1.0,4,CENTRAL PARK SOPHIE LOEB FOUNTAIN,-73.965092431312,40.7757805179,Recreational Facility,recreation,Manhattan
7529,17242,3.0,9,KOL ISRAEL CONGREGATION,-73.958226612479,40.672790290513,Religious Institution,culture,Brooklyn
7530,1037116,3.0,4,CHISHOLM PARK PENN PIER,-73.870262597576,40.638878425189,Recreational Facility,recreation,Brooklyn
7535,5866,1.0,3,MUSEUM OF ARTS AND DESIGN,-73.981987439288,40.76741246735,Cultural Facility,culture,Manhattan
7538,1030030,2.0,4,TWIN OAKS TRIANGLE,-73.899382566216,40.886691491071,Recreational Facility,recreation,Bronx
7542,1301,1.0,4,HANCOCK PARK,-73.953262191668,40.809574580784,Recreational Facility,recreation,Manhattan
7545,17390,1.0,9,CHRIST TEMPLE IN THE VILLAGE OF HARLEM,-73.941626227229,40.808821893344,Religious Institution,culture,Manhattan
7547,1031757,3.0,6,FLATBUSH AVE OVER LIRR BAY RIDGE,-73.945482173579,40.63078022257,Transportation Facility,transportation,Brooklyn
7548,1003685,4.0,4,FLUSHING MEADOW PARK BOAT HOUSE,-73.838516374819,40.735774413712,Recreational Facility,recreation,Queens
7552,19082,3.0,6,BAY END MARINA,-73.909024775814,40.61742054176,Transportation Facility,transportation,Brooklyn
7555,5900,1.0,3,SHUBERT THEATRE,-73.98730120531,40.758094537396,Cultural Facility,culture,Manhattan
